Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Diepoldsau;9444;00;5358;Diepoldsau;3234;SG;100%;9.656901218048244;47.38543617113281;de;01.07.2008
Rebstein;9445;00;5359;Rebstein;3255;SG;99.90%;9.584960429604461;47.398861477998594;de;01.07.2008
Rebstein;9445;00;5359;Balgach;3232;SG;0.10%;9.587878765;47.40747183815339;de;01.07.2008
Altstätten SG;9450;00;5360;Altstätten;3251;SG;99.76%;9.544550037;47.37724667491301;de;01.07.2008
Altstätten SG;9450;00;5360;Gais;3022;AR;0.24%;9.503183992282755;47.38820573520403;de;01.07.2008
Lüchingen;9450;02;5355;Altstätten;3251;SG;93.28%;9.553740989875095;47.38687693397314;de;01.07.2008
Lüchingen;9450;02;5355;Oberegg;3111;AI;6.72%;9.551042316562725;47.39566286075377;de;01.07.2008
Kriessern;9451;00;5361;Oberriet (SG);3254;SG;100%;9.609420814696561;47.36500502213955;de;01.07.2008
Hinterforst;9452;00;5362;Altstätten;3251;SG;55.88%;9.530939650493409;47.36223444033169;de;01.07.2008
Hinterforst;9452;00;5362;Eichberg;3252;SG;44.12%;9.528697263572914;47.35705653060208;de;01.07.2008
Eichberg;9453;00;5363;Eichberg;3252;SG;98.12%;9.525493621;47.34287147225111;de;01.07.2008
Eichberg;9453;00;5363;Altstätten;3251;SG;1.88%;9.540203710696892;47.34597856269398;de;01.07.2008
Montlingen;9462;00;5364;Oberriet (SG);3254;SG;100%;9.585676484468493;47.334128206959086;de;01.07.2008
Oberriet SG;9463;00;5365;Oberriet (SG);3254;SG;95.11%;9.563000395573233;47.32041267507582;de;01.07.2008
Oberriet SG;9463;00;5365;Altstätten;3251;SG;4.59%;9.536402919685065;47.33349613753492;de;01.07.2008
Oberriet SG;9463;00;5365;Rüthi (SG);3256;SG;0.30%;9.546255071757638;47.305504866782066;de;01.07.2008
Rüthi (Rheintal);9464;00;5366;Rüthi (SG);3256;SG;96.90%;9.538074369839808;47.29090694;de;01.07.2008
Rüthi (Rheintal);9464;00;5366;Altstätten;3251;SG;3.10%;9.520947916714602;47.28919313;de;01.07.2008
Lienz;9464;02;5367;Altstätten;3251;SG;99.74%;9.516675169;47.27795120669563;de;01.07.2008
Lienz;9464;02;5367;Rüthi (SG);3256;SG;0.27%;9.522211430786921;47.28666894959493;de;01.07.2008
Salez;9465;00;5368;Sennwald;3274;SG;100%;9.499341374391634;47.23717917986648;de;01.07.2008
Sennwald;9466;00;5370;Sennwald;3274;SG;100%;9.501012837418795;47.26062420756705;de;01.07.2008
Frümsen;9467;00;5371;Sennwald;3274;SG;99.29%;9.471129425;47.24395192331726;de;01.07.2008
Frümsen;9467;00;5371;Schwende-Rüte;3112;AI;0.71%;9.453068020913815;47.26077072;de;01.07.2008
Sax;9468;00;5372;Sennwald;3274;SG;100%;9.454312977303497;47.23003130309086;de;01.07.2008
Haag (Rheintal);9469;00;5373;Sennwald;3274;SG;95.39%;9.491714312951416;47.21231978267225;de;01.07.2008
Haag (Rheintal);9469;00;5373;Buchs (SG);3271;SG;4.04%;9.482285532;47.19780329217897;de;01.07.2008
Haag (Rheintal);9469;00;5373;Grabs;3273;SG;0.58%;9.476035622833065;47.19557471364556;de;01.07.2008
Buchs SG;9470;00;5374;Buchs (SG);3271;SG;98.68%;9.476004622736202;47.161509712817654;de;01.07.2008
Buchs SG;9470;00;5374;Sevelen;3275;SG;1.25%;9.445792574698679;47.14627861061865;de;01.07.2008
Buchs SG;9470;00;5374;Grabs;3273;SG;0.07%;9.466600447853635;47.17547851712504;de;01.07.2008
Werdenberg;9470;05;6066;Grabs;3273;SG;100%;9.461431214660797;47.17103468;de;01.07.2008
Grabs;9472;00;5379;Grabs;3273;SG;100%;9.445776921917743;47.180729516522696;de;01.07.2008
Grabserberg;9472;02;5380;Grabs;3273;SG;100%;9.408979033120062;47.17951218996004;de;01.07.2008
